"","user1","user2","user3","user4","user5"
"1",NA,"la no si video","la no si video","la no si video","la no si video"
"2","la no si video",NA,"cristo entr este la no si vida video","este la no si solo vida video","este la no si vida video"
"3","la no si video","cristo entr este la no si vida video",NA,"cosa dã estã este hoy la mãs no persona por si vida video",""
"4","la no si video","este la no si solo vida video","cosa dã estã este hoy la mãs no persona por si vida video",NA,"dã este la no si venezuela vida video"
"5","la no si video","este la no si vida video","","dã este la no si venezuela vida video",NA
